Term,Type,Synonyms,Definition,Generated Definition
"date time stamp",Class,"time stamp","a combination of a date, a time, and a time zone",""
"day of month",Class,"","","A kind of business recurrence interval convention."
"day of the month",Class,"","a business recurrence interval that indicates a specific, recurring day of the month","A kind of business recurrence interval."
"day of the week",Class,"","a business recurrence interval that indicates a specific, recurring day of the week","A kind of business recurrence interval."
"day of week",Class,"","","A kind of business recurrence interval convention."
"day-count convention",Class,"","a business recurrence interval convention that is used to calculate the number of days in an interest payment, which applies to the amount of accrued interest or the present value for debt instruments","A kind of business recurrence interval convention and expression."
"de facto control",Class,"","control that is understood, due to condition or situation treated as standard or official, even if not explicitly stated (or actually standardized)","A kind of controlling capacity."
"de facto controlling interest party",Class,"","A party which exercises some control over an entity other than via some constitutional instrument such as shares.","A kind of controlling interest party. A valid occurrence satisfies the following necessary conditions:
nominates at least one occurrence of board member.
is played by at least one occurrence of `holds some means of` only `de facto control`."
"de jure control",Class,"","control that is formalized in law, or codified in some legal instrument","A kind of controlling capacity and legal construct."
"de jure controlling interest",Class,"","controlling interest that is formalized by some formal legal construct","A kind of de jure control."
"de jure controlling interest party",Class,"","An entity that may exercise de jure controlling interest","A kind of controlling interest party. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of `holds some means of` only `de jure controlling interest`."
"debt",Class,"","an obligation to pay something, such as an amount of money, good, service, or instrument","A kind of commitment. A valid occurrence satisfies the following necessary conditions:
is owed to at least one occurrence of creditor.
is owed by at least one occurrence of debtor."
"debt instrument",Class,"","a financial instrument evidencing a contractual obligation by the issuer to the holder to pay cash or deliver some other asset on terms as specified","A kind of credit agreement, financial instrument, and written contract. A valid occurrence satisfies the following necessary conditions:
has offering at least one occurrence of debt offering.
has interest payment terms at least one occurrence of interest payment terms.
has contract party at least one occurrence of lender.
has contract party at least one occurrence of borrower.
has redemption terms at least one occurrence of redemption provision.
has call terms at least one occurrence of debt call terms.
has repayment terms at least one occurrence of principal repayment terms.
has contractual element at least one occurrence of debt terms.A valid occurrence may also have the following properties:
has call terms any number of occurrences of call feature.
has call terms any number of occurrences of debt call terms.
relates to any number of occurrences of debt finance.
puttable any number of occurrences of Boolean value.
has value at issue any number of occurrences of DebtRelativeValueSelection.
callable any number of occurrences of Boolean value.
has value at maturity any number of occurrences of DebtRelativeValueSelection."
"debt offering",Class,"","an offering of one or more debt instruments for sale","A kind of securities offering. A valid occurrence satisfies the following necessary conditions:
applies to at least one occurrence of debt instrument.
has repayment terms at least one occurrence of principal repayment terms.A valid occurrence may also have the following properties:
is exchangeable any number of values of boolean.
is subordinated any number of values of boolean.
is putable any number of values of boolean.
is callable any number of values of boolean.
has default lot size any number of values of integer.
is strippable any number of values of boolean.
has duration to maturity any number of occurrences of explicit duration.
has call terms any number of occurrences of call feature."
"debt terms",Class,"","contract terms that specify the formal rights and obligations of borrower and lender under a contract in which funds are lent from the one party to the other","A kind of contractual commitment. A valid occurrence may have the following properties:
governs payment of any number of occurrences of any type."
"debtor",Class,"","a party that owes a debt","A kind of party in role. A valid occurrence may have the following properties:
has identity any number of occurrences of legal person.
owes any number of occurrences of debt."
"degree of control",Class,"","the degree of control one entity has over another","A kind of reference. A valid occurrence may have the following properties:
has percentage control any number of occurrences of percentage.
has percentage control any number of occurrences of percentage."
"delegated legal authority",Class,"","institutionalized and legal power inherent in a particular job, function, or position that is meant to enable its holder to successfully carry out his or her responsibilities, where such power has been delegated through some formal means","A kind of legal capacity."
"deliver cash",Class,"","","A valid occurrence may have the following properties:
payment type any number of values of string.
delivery amount any number of occurrences of monetary amount.
delivery date any number of occurrences of date."
"deliver cash",Class,"","commitment to deliver cash at the earliest available date as per settlement convention","A kind of delivery terms and payment obligation."
"delivery terms",Class,"","","A kind of derivative transaction terms and settlement terms."
"deposit account",Class,"","an account that provides a record of money placed with a depository institution for safekeeping and management","A kind of banking product and investment or deposit account. A valid occurrence satisfies the following necessary conditions:
is provided by at least one occurrence of depository institution.
has party in role at least one occurrence of depository institution."
"depository institution",Class,"","any financial institution engaged in the business of receiving demand deposits from the public or other institutions","A kind of financial institution."
"derivative contract party",Class,"","a party to a derivative instrument","A kind of contract party and contractual transaction party. A valid occurrence satisfies the following necessary conditions:
has derivative party identity at least one occurrence of corporation.
has derivative party identity at least one occurrence of corporation.
has identity exactly one occurrence of legal person.
is played by at least one occurrence of `is a party to` some `derivative instrument`."
"derivative instrument",Class,"derivative contract","a financial instrument that confers on its holders certain rights or obligations, whose value is derived from one or more underlying assets","A kind of contractual economic agreement, economic contract, and financial instrument. A valid occurrence satisfies the following necessary conditions:
has contract party exactly two occurrences of derivative contract party.
has contractual element at least one occurrence of settlement terms.
has contractual element at least one occurrence of derivative transaction terms.
hasUnderlier at least one occurrence of underlier."
"derivative transaction terms",Class,"","the contract terms for a derivative transaction, covering payment or delivery by either party to the other","A kind of contractual commitment."
"derived quantity",Class,"","a quantity kind, in a system of quantities, that is not a base quantity of the system but may be defined in terms of base quantities of the system","A kind of quantity kind. A valid occurrence satisfies the following necessary condition:
is derived from exactly one occurrence of base quantity."
"derived unit",Class,"","a measurement unit for a derived quantity","A kind of measurement unit. A valid occurrence satisfies the following necessary condition:
is derived from exactly one occurrence of base unit."
"difference",Class,"","a quantity by which amounts differ; the remainder left after subtraction of one value from another","A kind of expression, quantity value, and statistical measure. A valid occurrence satisfies the following necessary condition:
has argument exactly two occurrences of any type."
"division",Class,"","a part of a company, such as a line of business, that may have separate accounting or reporting requirements","A kind of organizational sub unit."
"document",Class,"","something tangible that records something, such as a recording or a photograph, or a writing that can be used to furnish evidence or information",""
"domestic ultimate parent",Class,"","an organization that is recognized as the ultimate parent of a given company within the country or jurisdiction of incorporation; this relationship may or may not be present, i.e. in the case of a company that has no parent","A kind of total controlling interest company."
"driver's license",Class,"driving licence","an official document which states that a person may operate a motorized vehicle, such as a motorcycle, car, truck or a bus, on a public roadway","A kind of identity document."
"duration",Class,"","an interval of time of some specific length","A kind of time interval. A valid occurrence may have the following properties:
has duration value any number of values of string."
"duty",Class,"","some obligation which exists and is imposed on some individual","A kind of legal construct."
"economic indicator",Class,"","a statistical measure of economic activity that is regular and comparable in the context of a statistical area (region), used for analysis of economic performance and predictions of future performance","A kind of statistical measure. A valid occurrence satisfies the following necessary conditions:
has reporting period exactly one occurrence of explicit date period.
has indicator value exactly one occurrence of quantity value.
applies to at least one occurrence of statistical area.A valid occurrence may also have the following properties:
has series origin any number of occurrences of date.
has release date any number of occurrences of date.
has periodicity any number of occurrences of recurrence interval."
"economic indicator publisher",Class,"","a statistical information publisher that publishes economic news, including economic indicators","A kind of statistical information publisher. A valid occurrence satisfies the following necessary conditions:
publishes at least one occurrence of economic news release.
has identity at least one occurrence of government body."
"economic news release",Class,"","published statistical information that is about economic indicators and possibly other economic news","A kind of publication. A valid occurrence satisfies the following necessary condition:
involves at least one occurrence of economic indicator."
"economic rate observable",Class,"","","A kind of rate based observable. A valid occurrence satisfies the following necessary conditions:
has identity exactly one occurrence of economic indicator.
observable identity at least one occurrence of economic indicator.
observable identity at least one occurrence of economic indicator."
"edge corporation",Class,"","a corporation chartered by the Federal Reserve to engage in international banking and financial operations","A kind of financial service provider. A valid occurrence satisfies the following necessary condition:
has identity exactly one occurrence of corporation."
"electronic funds transfer service",Class,"wire transfer service","a service involving any transfer of funds other than a transaction involving a paper instrument, that is initiated through an electronic terminal, telephone, or computer and that orders or authorizes a financial institution to debit or credit an account","A kind of financial service."
"emancipated minor",Class,"","a minor who is allowed to conduct a business or any other occupation on his or her own behalf or for their own account outside the control of a parent or guardian","A kind of minor."
"employed population",Class,"","a subset of the civilian labor force considered to be employed during the reporting period","A kind of civilian labor force."
"employment situation establishment survey",Class,"","a survey conducted on a regular basis that presents analytical information related to the labor force of a given statistical area, surveyed with respect to businesses, and is, for the most part, seasonally adjusted","A kind of employment situation survey. A valid occurrence satisfies the following necessary condition:
has context at least one occurrence of establishment."
"employment situation household survey",Class,"","a survey conducted on a regular basis that presents analytical information related to the labor force of a given statistical area, surveyed with respect to households, and is, for the most part, seasonally adjusted","A kind of employment situation survey. A valid occurrence satisfies the following necessary condition:
has context at least one occurrence of household."
"employment situation survey",Class,"","a survey conducted on a regular basis that presents analytical information focused on the employment characteristics of a given statistical area","A kind of current employment statistics and current population survey."
"employment-population ratio",Class,"","an economic indicator representing the ratio of the employed population with respect to the overall civilian non-institutional population of a given economy for some specified period","A kind of economic indicator and expression. A valid occurrence satisfies the following necessary conditions:
applies to at least one occurrence of employed population.
has argument exactly one occurrence of employed population.
has argument exactly one occurrence of civilian non-institutional population.
has indicator value exactly one occurrence of ratio value."
"end of the month",Class,"","a business recurrence interval that indicates the last day of a calendar month, regardless of the length of that month","A kind of business recurrence interval."
"end-of-day market rate",Class,"","a measure of the price level (value) of a given market rate of the end of the business day for a specific date","A kind of market rate. A valid occurrence satisfies the following necessary condition:
has quotation date exactly one occurrence of explicit date."
"enterprise",Class,"","a functional business entity that produces and/or sells goods or services","A kind of functional business entity and institutional unit. A valid occurrence satisfies the following necessary conditions:
has identity at least one occurrence of legal person.
is classified by at least one occurrence of industry sector classifier.
applies to at least one occurrence of (Unnamed Class).
has constituent at least one occurrence of establishment."
"enterprise population",Class,"","a statistical universe consisting of enterprises designed for the purposes of supporting surveys such as those used as the basis for employment and producer price indices","A kind of statistical universe. A valid occurrence satisfies the following necessary condition:
has member at least one occurrence of enterprise."
"entitlement",Class,"right","a financial instrument that provides the holder the privilege to subscribe to or to receive specific assets on terms specified","A kind of derivative instrument."
"entity controlling party",Class,"","Some party which is able to direct the activities of some business entity.","A kind of controlling party. A valid occurrence satisfies the following necessary condition:
is played by at least one occurrence of (Unnamed Class).A valid occurrence may also have the following properties:
has degree of control any number of occurrences of degree of control.
has nature of control any number of occurrences of de facto control."
"entity owner",Class,"","a party that has some ownership interest in some entity","A kind of owner. A valid occurrence satisfies the following necessary conditions:
is played by at least one occurrence of any type.
is played by at least one occurrence of `holds equity in` only `equity`."
"entity ownership context",Class,"","the context of ownership by some party of an interest in some formal organization","A kind of ownership. A valid occurrence satisfies the following necessary condition:
involves at least one occurrence of entity owner."
"equity",Class,"","the value of an ownership interest in property, including shareholders equity in a business","A valid occurrence may have the following properties:
takes form any number of occurrences of monetary amount.
represents an interest in any number of occurrences of any type."
"equity apportionment terms set",Class,"","Terms setting out the apportionment of equity in some formal business organization.","A kind of contract terms set."
"equity instrument",Class,"","a financial instrument representing an ownership interest in an entity or pool of assets","A kind of security."
"equity-based de jure control",Class,"","De Jure controlling interest in an entity which is based on the holding of some form of equity in that entity.","A kind of constitutional de jure control."
"establishment",Class,"","an enterprise (or part of an enterprise) that operates from a single physical location","A kind of institutional unit. A valid occurrence satisfies the following necessary conditions:
has address exactly one occurrence of physical address.
is constituent of at least one occurrence of enterprise."
"establishment employment",Class,"payroll employment","the total number of persons who work in or for the establishment including working proprietors, active business partners and unpaid family workers, as well as persons working outside the establishment when paid by and under the control of the establishment, for example, sales representatives, outside service engineers and repair and maintenance personnel","A kind of economic indicator and expression. A valid occurrence satisfies the following necessary conditions:
applies to at least one occurrence of establishment population.
has indicator value exactly one occurrence of total.
has argument at least one occurrence of establishment population."
"establishment population",Class,"","a subset of the enterprise population focused on establishments","A kind of enterprise population. A valid occurrence satisfies the following necessary condition:
has member at least one occurrence of establishment."
"Euro Interbank Offered Rate",Class,"","a daily interbank offered rate based on the averaged interest rates at which Eurozone banks offer to lend unsecured funds to other banks in the euro wholesale money market (or interbank market)","A kind of interbank offered rate."
"Euro LIBOR",Class,"","","A kind of London Interbank Offered Rate."
"European Economic Area branch",Class,"EEA branch","a branch of a credit institution authorised in another European Economic Area (EEA) country that has the right to passport its activities","A kind of credit institution."
"examiner",Class,"","a party appointed by, and who has the capacity to act as an official representative of, a regulatory agency to provide examination, review, and other regulatory services","A kind of responsible party. A valid occurrence satisfies the following necessary conditions:
has identity exactly one occurrence of legally capable person.
is played by at least one occurrence of any type.A valid occurrence may also have the following properties:
is played by at least one occurrence of (Unnamed Class)."
"exchange",Class,"","any organization, association, or group of persons, whether incorporated or unincorporated, which constitutes, maintains, or provides a facility for bringing together purchasers and sellers of financial instruments, commodities, or other products, services, or goods, and includes the market place and facilities maintained by such exchange","A kind of facility. A valid occurrence satisfies the following necessary conditions:
is identified by at least one occurrence of market identifier.
is played by at least one occurrence of `is situated at` some `market`.
has identity at least one occurrence of autonomous agent."
"exchange and listing service",Class,"","a trading and (optionally) listing service for the purposes of securities trading","A kind of financial service. A valid occurrence satisfies the following necessary conditions:
is provided by at least one occurrence of securities exchange.
provides at least one occurrence of security listing.
is provisioned by at least one occurrence of securities exchange."
"exchange identifier",Class,"","an identifier allocated to a securities exchange","A kind of market identifier."
"exchange rate",Class,"","a rate at which one currency can be exchanged for another","A kind of monetary measure and rate. A valid occurrence satisfies the following necessary conditions:
has base currency exactly one occurrence of currency.
has dealt currency exactly one occurrence of currency.A valid occurrence may also have the following properties:
has quantity kind any number of occurrences of monetary measure."
"exchange traded security",Class,"","a listed security that may be traded on a particular exchange","A kind of listed security and trading registered security. A valid occurrence satisfies the following necessary conditions:
has restrictions (please review) at least one occurrence of investment restriction.
at least one occurrence of National Securities Identifying Number.
is traded on at least one occurrence of securities exchange.
at least one occurrence of security listing.
has restrictions (please review) at least one occurrence of investment restriction.
is issued in at least one occurrence of securities exchange."
"exchange-specific securities registry",Class,"","a registry used by a securities exchange in managing the security identifiers and related information that it registers and manages","A kind of registry. A valid occurrence satisfies the following necessary conditions:
is managed by at least one occurrence of securities exchange.
is characterized by exactly one occurrence of exchange-specific security identification scheme.A valid occurrence may also have the following properties:
has registry entry any number of occurrences of exchange-specific securities registry entry."
"exchange-specific securities registry entry",Class,"","an entry in an exchange-specific securities repository","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of listed security identifier.A valid occurrence may also have the following properties:
is constituent of any number of occurrences of exchange-specific securities registry.
applies to any number of occurrences of listed security."
"exchange-specific security identification scheme",Class,"","an identification scheme used by a securities exchange in issuing security identifiers","A kind of registration scheme and security identification scheme. A valid occurrence satisfies the following necessary condition:
characterizes at least one occurrence of exchange-specific securities registry.A valid occurrence may also have the following properties:
defines any number of occurrences of listed security identifier."
"executive",Class,"","person appointed and given the responsibility to manage the affairs of an organization and the authority to make decisions within specified boundaries","A kind of legally delegated authority. A valid occurrence may have the following properties:
has identity any number of occurrences of natural person."
"executive board member",Class,"inside director","An individual performing the role of a board member of a company who also has executive responsibilities in the company.","A kind of board member and executive."
"executive branch",Class,"","the branch of government that has its authority and responsibility for the daily administration of the state","A kind of branch of government."
"exempt issuer",Class,"","a securities issuer that issues securities that are exempt from certain regulatory reporting requirements","A kind of issuer."
"exempt offering",Class,"","a public offering involving securities that are exempt from certain regulatory reporting requirements, either because the issuer is exempt or the transaction specific to the offering is exempt","A kind of public offering."
"exempt transaction",Class,"","a securities transaction for which there is no requirement to register the transaction with a regulatory agency","A kind of securities transaction."
"explicit date",Class,"","a date in which the 'hasDateValue' property is required","A kind of date."
"explicit date period",Class,"","a date period for which the start date, end date, and duration are all explicit","A kind of date period. A valid occurrence may have the following properties:
has end date at most one occurrence of explicit date.
has start date at most one occurrence of explicit date."
"explicit duration",Class,"","a duration for which the 'hasDurationValue' property must be set","A kind of duration."
"explicit interest amount calculation event",Class,"","the explicit representation of the calculation event in a given period, in which an interest payment is calculated based on the rate (fixed or floating) and the notional amount (in the payment currency, and factored for Fx if necessary), on a given date","A kind of interest rate stream event and scheduled calculation period end event."
"explicit recurrence interval",Class,"","a recurrence interval defined via an explicit duration","A kind of recurrence interval."
"exposure",Class,"","the extent to which an individual or organization is unprotected and open to damage, danger, risk of suffering a loss, or uncertainty",""
"expression",Class,"","a finite combination of symbols that are well-formed according to applicable rules","A kind of reference. A valid occurrence satisfies the following necessary conditions:
has argument at least one occurrence of constant.
has argument at least one occurrence of variable."
"extension provision",Class,"","contract terms that specify the conditions under which a contract can be extended","A kind of contractual commitment."
"face amount certificate company",Class,"","an investment company which is engaged or proposes to engage in the business of issuing face-amount certificates of the installment type, or which has been engaged in such business and has any such certificate outstanding","A kind of investment company."
"facility",Class,"","something that is built, contrived, established, or installed to serve a particular purpose, or make some course of action or operation easier, or provide some capability or service","A kind of thing in role. A valid occurrence satisfies the following necessary condition:
provides at least one occurrence of capability.A valid occurrence may also have the following properties:
is situated at any number of occurrences of site."
"family office",Class,"","a family office as defined in the relevant legislation","A kind of functional business entity."
"farm credit system institution",Class,"","any federally-chartered financial institution that is supervised, examined, and regulated by the Farm Credit Administration and operates in accordance with the Farm Credit Act of 1971, as amended, 12 U.S.C. 2001 et seq. All Farm Credit System institutions are federally-chartered instrumentalities of the United States.","A kind of financial institution."
"FDIC Certificate Number",Class,"","an identifier issued to a depository institution by the FDIC on approval of that institution's application for insurance","A kind of registry identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of depository institution."
"FDIC registry entry",Class,"","an entry in the FDIC institution directory, a repository of financial institution characteristics collected by the FDIC related to the institutions they insure","A kind of registry entry. A valid occurrence satisfies the following necessary condition:
comprises at least one occurrence of FDIC Certificate Number.A valid occurrence may also have the following properties:
applies to any number of occurrences of depository institution."
"federal capital administrative area",Class,"","The capital administrative region of a country which is a federation, if the physical area of this region does not form a part of any of the states or pronvinces which make up the federal country.","A kind of geopolitical entity."
"federal funds rate",Class,"","a reference rate that is the interest rate at which a depository institution lends funds maintained at the Federal Reserve to another depository institution overnight","A kind of overnight rate."
"federal government",Class,"","a union of states under a central government distinct from the individual governments of the separate states","A kind of national government. A valid occurrence satisfies the following necessary conditions:
governs at least one occurrence of federal capital administrative area.
governs at least two occurrences of federal state."
"Federal Reserve district",Class,"","a region of the US identifying the jurisdiction of a Federal Reserve Bank, numbered and named for the city in which that reserve bank is located","A kind of jurisdiction. A valid occurrence satisfies the following necessary condition:
is identified by exactly one occurrence of Federal Reserve district identifier."
"Federal Reserve district bank",Class,"","a Federal Reserve district and member bank, with jurisdiction over a specific region of the US, named for the city in which the reserve bank is located","A kind of central bank and Federal Reserve System (FRS) member bank. A valid occurrence satisfies the following necessary condition:
has jurisdiction exactly one occurrence of Federal Reserve district."
"Federal Reserve district identifier",Class,"","an identifier associated with a Federal Reserve district","A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies exactly one occurrence of Federal Reserve district."
"Federal Reserve System (FRS) member bank",Class,"","a Federal Reserve member bank","A kind of financial institution."
"Federal Reserve System (FRS) non-member bank",Class,"","a financial institution that is not a Federal Reserve member bank","A kind of financial institution."
"Federal Reserve System (FRS) state member bank",Class,"","a commercial bank that is state-chartered and a member of the Federal Reserve System","A kind of Federal Reserve System (FRS) member bank and state-chartered bank."
"federal state",Class,"","a self-governing geopolitical unit which forms part of a wider geopolitical unit that is recognized as a country","A kind of geopolitical entity."
"federated sovereignty",Class,"","a political entity characterized by a union of partially self-governing states or regions under a central (federal) government","A kind of sovereign state. A valid occurrence satisfies the following necessary conditions:
is represented by exactly one occurrence of federal government.
has full sovereignty over at least one occurrence of country.
is represented by at least two occurrences of regional government.
has shared sovereignty over at least two occurrences of federal state."
"finance company",Class,"","a financial intermediary in the business of making loans to individuals or businesses that obtains its financing from banks, institutions, and other money market sources rather than from deposits","A kind of non-depository institution."
"financial asset",Class,"","An asset consisting of one or more financial instruments, treated as an asset","A kind of asset. A valid occurrence may have the following properties:
has aquisition price any number of occurrences of price."
"financial exposure",Class,"","the extent to which an individual or organization is open to risk of suffering a loss in a transaction, or with respect to some investment or set of investments, e.g., some holding; the amount one stands to lose in that transaction or investment","A kind of exposure. A valid occurrence satisfies the following necessary condition:
applies to at least one occurrence of party in role."
"financial holding company",Class,"","a financial entity engaged in a broad range of banking-related activities, created by the Gramm-Leach-Bliley Act of 1999","A kind of U.S. bank holding company."
"financial information publisher",Class,"","a formal organization acting as a publisher or provider of information related to the financial markets or of interest to financial market participants such as information on economies","A kind of publisher. A valid occurrence satisfies the following necessary conditions:
publishes at least one occurrence of published financial information.
has identity at least one occurrence of formal organization."
"financial institution",Class,"","a financial service provider identified as either a government agency or privately owned entity that collects funds from the public and from other institutions, and invests those funds in financial assets, such as loans, securities, bank deposits, and income-generating property","A kind of financial service provider. A valid occurrence satisfies the following necessary conditions:
provides at least one occurrence of financial service.
is regulated by at least one occurrence of regulatory agency."
"financial instrument",Class,"","a written contract that gives rise to both a financial asset of one entity and a financial liability or equity instrument of another entity","A kind of written contract. A valid occurrence satisfies the following necessary conditions:
defines at least one occurrence of contractual restriction.
is classified by at least one occurrence of financial instrument classifier.
has registration requirement at least one occurrence of registration requirement.
has restriction at least one occurrence of securities restriction.
is classified by at least one occurrence of industry sector classifier.A valid occurrence may also have the following properties:
is transferable any number of values of boolean.
has tax treatment (please review) any number of occurrences of financial instrument tax treatment (please review).
has analytics details any number of occurrences of financial instrument analytical parameter.
has restrictions (please review) any number of occurrences of investment restriction.
has analytics details any number of occurrences of financial instrument analytical parameter.
has price any number of occurrences of published price.
has rate of return any number of occurrences of instrument internal rate of return.
has issuer any number of occurrences of issuer.
has value expressed in any number of occurrences of currency.
is legally recorded in any number of occurrences of jurisdiction.
has issuer any number of occurrences of issuer.
is identified by any number of occurrences of financial instrument identifier."
"financial instrument classification scheme",Class,"","a classification scheme defining a particular classifier for a security, such as the ISO 10962 CFI classification scheme","A kind of classification scheme. A valid occurrence may have the following properties:
defines any number of occurrences of financial instrument classifier."
"financial instrument classifier",Class,"","a standardized classifier for a financial instrument based on its type","A kind of classifier. A valid occurrence satisfies the following necessary conditions:
classifies at least one occurrence of financial instrument.
has definition exactly one occurrence of financial instrument classification scheme."
"Financial Instrument Global Identifier (FIGI) registry entry",Class,"","an entry in a Financial Instrument Global Identifier (FIGI) registry","A kind of registry entry. A valid occurrence may have the following properties:
applies to any number of occurrences of financial instrument."
"financial instrument identification scheme",Class,"","a formal definition of the structure and application of a particular set of financial instrument identifiers","A kind of identification scheme. A valid occurrence may have the following properties:
defines any number of occurrences of financial instrument identifier."
"financial instrument identifier",Class,"","an identifier for a financial instrument","A kind of identifier. A valid occurrence satisfies the following necessary condition:
identifies at least one occurrence of financial instrument."
"financial intermediation service",Class,"","any financial service in which a third party (the intermediary) matches lenders and investors with entrepreneurs and other borrowers in need of capital","A kind of financial service."
"financial product",Class,"","a product provided to consumers and businesses by financial institutions such as banks, insurance companies, brokerage firms, consumer finance companies, and investment companies all of which comprise the financial services industry","A kind of product. A valid occurrence satisfies the following necessary condition:
is provided by at least one occurrence of financial service provider."
"financial service",Class,"","a service provided to consumers and businesses by financial institutions such as banks, insurance companies, brokerage firms, consumer finance companies, and investment companies all of which comprise the financial services industry","A kind of service. A valid occurrence satisfies the following necessary condition:
is provided by at least one occurrence of financial service provider."
"financial service account",Class,"","an account provided by a financial service provider associated with a specific financial product or service","A kind of account. A valid occurrence satisfies the following necessary conditions:
has definition at least one occurrence of service agreement.
is provided by at least one occurrence of financial service provider.
realizes at least one occurrence of (Unnamed Class).
is identified by at least one occurrence of account identifier.A valid occurrence may also have the following properties:
has party in role at least one occurrence of (Unnamed Class).
has party in role at least one occurrence of (Unnamed Class)."
"financial service provider",Class,"","a functional entity either licensed to provide financial services to consumers and/or businesses or established by law to provide financial services, such as a central bank","A kind of functional entity and service provider. A valid occurrence satisfies the following necessary conditions:
has identity exactly one occurrence of any type.
has identity exactly one occurrence of any type.
provides at least one occurrence of financial service.A valid occurrence may also have the following properties:
has identity exactly one occurrence of (Unnamed Class)."
"finite population",Class,"","a population for which it is possible to count its units","A kind of collection."
"firm commitment offering",Class,"","a securities offering whereby the underwriter purchases the securities outright for their own account","A kind of securities offering. A valid occurrence satisfies the following necessary condition:
is underwritten by at least one occurrence of security underwriter."
"fixed basket",Class,"","a basket of goods and services whose quantity and quality are held fixed for some period of time","A kind of basket. A valid occurrence satisfies the following necessary conditions:
has date period at least one occurrence of date period.
has constituent at least one occurrence of fixed basket constituent."
"fixed basket constituent",Class,"","a component of a fixed basket","A kind of basket constituent that can be recognized when an occurrence meets the following condition:
is played by at least one occurrence of `is constituent of [fibo-fbc-pas-fpas:isConstituentOf]` some `fixed basket`.A valid occurrence may also have the following properties:
has identity any number of occurrences of good or service."
"fixed float interest rate swap",Class,"vanilla interest rate swap","an interest rate swap in which fixed interest payments on the notional are exchanged for floating interest payments","A kind of interest rate swap that can be recognized when an occurrence meets one of the following conditions:
has leg at least one occurrence of floating interest rate leg.
has leg at least one occurrence of fixed interest rate leg.A valid occurrence satisfies the following necessary conditions:
exchanges at least one occurrence of floating interest rate leg.
exchanges at least one occurrence of fixed interest rate leg."
"fixed interest rate",Class,"","an interest rate that does not fluctuate over the lifetime of a loan or other debt instrument","A kind of interest rate."
"fixed interest rate leg",Class,"fixed interest rate swap stream terms","a swap stream that specifies fixed interest amounts and terms for the payment of that interest","A kind of interest rate swap stream terms that can be recognized when an occurrence meets the following condition:
has interest rate at least one occurrence of fixed interest rate."
"fixed payment leg",Class,"fixed payment stream terms","the terms for the fixed payment leg of a swap such as a dividend swap, or for any swap that has a fixed leg, including, for example, a single stock swap","A kind of swap leg. A valid occurrence may have the following properties:
has payment schedule any number of occurrences of payment schedule."
"fixed rate interest calculation",Class,"","calculation of the amount of interest due in a given period on a fixed rate IR swap leg","A kind of expression. A valid occurrence satisfies the following necessary condition:
has argument at least one occurrence of fixed interest rate."
"FixedFloatCrossCurrencyInterestRateSwap",Class,"","","A kind of cross-currency interest rate swap and fixed float interest rate swap."
"FixedFloatSingleCurrencyInterestRateSwap",Class,"","","A kind of fixed float interest rate swap."
"float-float cross-currency interest rate swap",Class,"","","A kind of float-float interest rate swap."
"float-float interest rate swap",Class,"","a swap that exchanges cashflows based on two different interest rates","A kind of interest rate swap that can be recognized when an occurrence meets the following condition:
has leg exactly two occurrences of floating interest rate leg.A valid occurrence satisfies the following necessary condition:
exchanges exactly two occurrences of floating interest rate leg."
"float-float single currency interest rate swap",Class,"","","A kind of float-float interest rate swap."
"floating interest rate",Class,"","a variable interest rate that is based on a specific index or benchmark rate","A kind of variable interest rate. A valid occurrence satisfies the following necessary condition:
is based on exactly one occurrence of rate."
"floating interest rate leg",Class,"floating interest rate swap stream terms","a swapstream in which variable interest is paid on some notional amount, linked to some underlying interest reference rate","A kind of interest rate swap stream terms that can be recognized when an occurrence meets the following condition:
has interest rate at least one occurrence of floating interest rate.A valid occurrence satisfies the following necessary conditions:
has interest rate reset schedule at least one occurrence of swapstream interest rate reset schedule.
has interest calculation schedule at least one occurrence of swapstream interest calculation schedule.
specifies at least one occurrence of swap stream interest rate reset.
specifies at least one occurrence of swap stream interest rate fixing."
"floating rate fixing value",Class,"","rdf:datatype='http://www.w3.org/2001/XMLSchema#string'>value of floating interest rate amount during a given calculation period, along with the relevant parameters in its calculation","A kind of variable."
"floating rate interest calculation",Class,"","","A kind of expression. A valid occurrence satisfies the following necessary condition:
has argument at least one occurrence of floating rate fixing value."
"floating-rate note date",Class,"","a calculated date associated with a floating-rate note, also known as a floater or FRN, which is a debt instrument with a variable interest rate","A kind of calculated date. A valid occurrence satisfies the following necessary condition:
has business day adjustment exactly one occurrence of floating-rate note date rule."
